"ORDEN,""IPAT"",""FECHA"",""AÑO"",""MES"",""DIA"",""GRAVEDAD"""
"188,""A000575633"",""2017-09-07T00:00:00.000"",""2017"",""9"",""jueves"",""CON HERIDOS"""
"189,""A000575648"",""2017-09-08T00:00:00.000"",""2017"",""9"",""viernes"",""SOLO DAÑOS"""
"190,""A000575639"",""2017-09-08T00:00:00.000"",""2017"",""9"",""viernes"",""SOLO DAÑOS"""
"191,""A000575631"",""2017-09-08T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
"192,""A000575651"",""2017-09-08T00:00:00.000"",""2017"",""9"",""viernes"",""SOLO DAÑOS"""
"193,""A000575649"",""2017-09-08T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
"194,""A000575643"",""2017-09-22T00:00:00.000"",""2017"",""9"",""viernes"",""SOLO DAÑOS"""
"195,""A000575640"",""2017-09-22T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
"196,""A000575642"",""2017-09-22T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
"197,""A000575654"",""2017-09-22T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
"198,""A000575644"",""2017-09-22T00:00:00.000"",""2017"",""9"",""viernes"",""CON HERIDOS"""
"199,""A000575659"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"200,""A000575658"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"201,""A000575647"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"202,""A000575660"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"203,""A000575662"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"204,""A000575663"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"205,""A000575656"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"206,""A000575655"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
